form_diff,goal_diff_diff,scored_diff,conceded_diff,elo_diff,neutral,year,result,tournament_type_continental_qualifier,tournament_type_friendly,tournament_type_nations_league,tournament_type_other,tournament_type_regional,tournament_type_world_cup,tournament_type_world_cup_qualifier
0.19999999999999996,0.4,-0.19999999999999996,-0.5999999999999999,10.353400418276806,1,2000,home_win,0,0,0,0,0,0,0
0.1333333333333333,-0.4,-0.6000000000000001,-0.19999999999999996,19.14591664251202,1,2000,away_win,0,0,0,0,0,0,0
0.06666666666666665,1.0,0.3999999999999999,-0.6,-1.107338474874041,1,2000,home_win,0,0,0,0,0,0,0
0.19999999999999996,1.0,0.3999999999999999,-0.5999999999999999,18.005513166806622,1,2000,draw,0,0,0,0,0,0,0
0.20000000000000007,0.19999999999999996,0.19999999999999996,0.0,19.297592702587735,0,2000,draw,0,0,0,0,0,0,0
-0.19999999999999996,-1.2,0.19999999999999996,1.4,-27.412614641274104,1,2000,away_win,0,0,0,0,0,0,0
0.19999999999999996,1.2,1.0,-0.19999999999999996,26.6983871337834,0,2000,draw,0,1,0,0,0,0,0
-0.13333333333333336,-0.2,-0.6,-0.4,-10.075353861954,0,2000,draw,0,1,0,0,0,0,0
-0.4,-1.7999999999999998,-1.4000000000000001,0.40000000000000013,-54.79692660520868,0,2000,home_win,0,1,0,0,0,0,0
0.0,1.2,0.19999999999999996,-1.0,-0.27014191382045283,0,2000,home_win,1,0,0,0,0,0,0
-0.06666666666666665,-0.4,-1.0,-0.6000000000000001,-11.63316561593956,0,2000,away_win,0,0,0,0,0,0,1
0.06666666666666665,0.6,-0.6000000000000001,-1.2000000000000002,-8.655531872739857,0,2000,home_win,0,0,0,0,0,0,1
0.06666666666666665,-1.2,-2.0,-0.8,8.093071650714592,0,2000,away_win,1,0,0,0,0,0,0
-0.1333333333333333,-1.4,-1.0000000000000002,0.4,-12.424766345945955,1,2000,home_win,1,0,0,0,0,0,0
0.4666666666666666,2.2,1.8000000000000003,-0.3999999999999999,26.585280480936945,0,2000,home_win,1,0,0,0,0,0,0
0.4666666666666666,1.7999999999999998,1.5999999999999999,-0.19999999999999996,44.200879011695406,1,2000,away_win,1,0,0,0,0,0,0
0.2666666666666667,0.3999999999999999,0.19999999999999973,-0.19999999999999996,18.925241754090166,0,2000,draw,1,0,0,0,0,0,0
0.19999999999999996,0.8,0.0,-0.8,21.37867976774737,0,2000,home_win,1,0,0,0,0,0,0
-0.1333333333333333,0.8,0.6000000000000001,-0.19999999999999996,-8.290155959080494,0,2000,home_win,1,0,0,0,0,0,0
0.5333333333333333,5.6000000000000005,1.2,-4.3999999999999995,56.34878612300008,1,2000,home_win,1,0,0,0,0,0,0
0.4666666666666667,4.2,0.7999999999999999,-3.3999999999999995,55.91315260869192,1,2000,home_win,1,0,0,0,0,0,0
0.0,0.8000000000000003,0.5999999999999999,-0.2,-5.033107972525386,0,2000,draw,1,0,0,0,0,0,0
-0.06666666666666665,-1.2,-0.8,0.4,-8.67078611720467,1,2000,away_win,1,0,0,0,0,0,0
0.6666666666666666,6.0,2.2,-3.8000000000000003,76.64942092793831,0,2000,home_win,1,0,0,0,0,0,0
